Id,SalePrice
0,84917.29
1,97223.28
2,105916.57
3,213036.33
4,79304.04
5,354455.8
6,213905.97
7,279721.78
8,142696.77
9,274424.16
10,192168.92
11,199657.47
12,112331.8
13,108509.99
14,114971.12
15,274873.78
16,216526.66
17,126148.44
18,76773.74
19,132296.94
20,111610.33
21,209650.42
22,108090.234
23,73507.48
24,166801.72
25,105248.7
26,182177.1
27,234398.05
28,181359.42
29,112624.22
30,118857.85
31,130279.7
32,146011.64
33,187942.17
34,173923.97
35,109427.805
36,117110.47
37,74103.55
38,168082.66
39,129996.85
40,112546.375
41,180851.33
42,344261.2
43,81892.74
44,34900.0
45,138484.16
46,152021.06
47,182873.05
48,94976.85
49,151874.42
50,159793.23
51,133418.72
52,200684.03
53,119488.95
54,221268.52
55,178787.4
56,202049.23
57,181185.1
58,222564.56
59,176653.02
60,120760.03
61,261056.98
62,138991.97
63,120189.46
64,165833.88
65,230555.73
66,208385.48
67,154491.25
68,195330.38
69,379283.72
70,164445.66
71,155827.2
72,161375.88
73,164921.06
74,210312.66
75,283500.12
76,143014.88
77,103231.47
78,137058.47
79,97926.984
80,229208.72
81,264451.66
82,310565.5
83,138075.75
84,108986.82
85,124895.84
86,116279.38
87,297383.4
88,166007.9
89,174024.12
90,153421.33
91,147295.03
92,111954.15
93,135322.69
94,155375.61
95,163118.72
96,155176.94
97,169754.05
98,175241.11
99,120490.734
100,107869.766
101,169564.05
102,163689.2
103,173480.4
104,153925.11
105,179916.81
106,114807.89
107,220696.66
108,103144.016
109,276580.03
110,210707.12
111,135446.3
112,89988.83
113,150579.64
114,118528.93
115,114708.62
116,132060.97
117,214116.81
118,97569.08
119,66564.97
120,100902.23
121,149871.56
122,121406.836
123,135335.03
124,165798.92
125,160373.86
126,224203.77
127,129367.29
128,325731.25
129,123975.85
130,158252.5
131,153517.78
132,115683.89
133,109880.92
134,77564.03
135,125206.41
136,127916.43
137,187952.16
138,128835.88
139,235948.27
140,200135.39
141,251175.72
142,179258.83
143,325061.97
144,175078.9
145,173777.05
146,188302.1
147,134210.11
148,93415.72
149,111939.0
150,274781.44
151,133969.16
152,116886.48
153,270601.1
154,170615.72
155,120348.68
156,314925.2
157,94172.82
158,188589.58
159,139648.53
160,165209.03
161,95647.91
162,194993.25
163,146214.88
164,158300.52
165,184202.69
166,165197.73
167,367689.7
168,207042.66
169,151600.17
170,223542.83
171,131234.7
172,128586.74
173,157639.89
174,154675.45
175,165369.2
176,180404.23
177,148970.27
178,200099.19
179,44468.316
180,199093.95
181,173680.53
182,119310.67
183,93549.266
184,180462.72
185,110303.164
186,158284.45
187,153429.67
188,252267.1
189,276766.78
190,165345.28
191,68942.07
192,114101.69
193,168237.7
194,97708.94
195,85679.73
196,142715.53
197,169273.6
198,504776.66
199,127197.47
200,168863.52
201,155431.34
202,286175.38
203,212306.28
204,157339.94
205,325052.28
206,170681.33
207,133955.42
208,141648.34
209,121064.91
210,241546.6
211,207588.36
212,249205.5
213,344251.2
214,140033.69
215,186072.44
216,318643.72
217,136711.8
218,272162.22
219,116233.016
220,153967.88
221,70645.266
222,246863.19
223,82428.14
224,220618.6
225,88385.38
226,98860.375
227,145730.31
228,177353.45
229,159339.7
230,249897.42
231,127001.24
232,85092.06
233,138854.58
234,106603.06
235,165209.48
236,139865.8
237,77289.23
238,237682.45
239,111662.58
240,101998.03
241,164781.0
242,185697.33
243,157834.78
244,227103.52
245,98454.35
246,174732.53
247,334892.2
248,229763.33
249,99120.69
250,201826.22
251,164436.9
252,110848.016
253,430179.0
254,219415.47
255,172194.56
256,109894.766
257,168284.75
258,137116.95
259,249977.16
260,132883.75
261,314157.84
262,120575.234
263,173372.02
264,124217.82
265,205414.03
266,170741.95
267,105809.15
268,158294.6
269,240900.94
270,116542.36
271,128304.83
272,219928.36
273,437459.1
274,243777.22
275,247894.27
276,100713.836
277,91377.836
278,99509.03
279,166758.33
280,88314.055
281,180401.27
282,154586.83
283,147151.72
284,88555.08
285,111635.52
286,200387.06
287,203199.34
288,328023.03
289,122284.12
290,192325.9
291,118460.195
292,118972.516
293,120348.41
294,192470.83
295,258658.12
296,180217.86
297,128257.19
298,38443.406
299,119380.586
300,116140.29
301,166671.11
302,191206.64
303,262511.62
304,96895.25
305,253845.27
306,126332.33
307,112465.32
308,97887.34
309,186661.16
310,209609.81
311,108579.08
312,137830.88
313,171033.92
314,163756.31
315,179841.55
316,137321.69
317,268718.56
318,99240.44
319,174770.34
320,175716.44
321,139781.16
322,158586.89
323,190007.1
324,125918.64
325,144667.45
326,273747.8
327,121279.58
328,128710.266
329,206498.88
330,175628.22
331,144249.8
332,112512.19
333,199171.1
334,139829.06
335,165749.1
336,109565.51
337,340198.8
338,124756.67
339,162252.73
340,183483.19
341,144225.48
342,397017.3
343,102156.45
344,180775.84
345,119625.016
346,70813.63
347,206015.03
348,104175.03
349,106391.58
350,112814.36
351,275061.0
352,109682.74
353,67413.49
354,187098.62
355,169848.22
356,189603.12
357,256300.42
358,83921.22
359,109709.34
